1,[μm/pixel]
567,756,[rows-cols]
ParticleID,Location.x,Location.y,Area,width,height,angle
117,147.419,116.385,101,17.0567,25.3591,126.101
118,75.7125,101.996,90,11.3307,18.9049,133.755
119,504.567,95.0744,24.5,4.9388,9.16309,172.668
120,529.368,93.3386,91,12.7175,15.0297,157.166
121,86.1428,88.7206,57,5.07514,20.0963,11.1325
122,52.0491,80.9283,72.5,17.2619,20.0782,69.2495
123,58.9074,61.3992,24.5,5.88379,7.17512,3.45646
124,72.0326,65.6445,80,22.5812,33.9127,90.4112
125,535.173,57.7025,88,14.0348,18.3628,34.4842
126,457.285,51.3051,10.5,2.22408,6.96997,50.0971
127,460.087,68.1608,128.5,26.8946,29.2031,80.8695
128,409.531,44.3843,50,9.20409,14.1467,8.40689
129,501.611,40.1365,65,8.77439,15.7451,28.0107
130,44.6994,48.8623,209.5,11.617,32.9853,173.588
131,11.2031,38.5374,77,12.1459,21.1336,100.586
132,484.544,31.9092,12.5,2.4423,8.71831,54.2006
133,76.563,32.6735,100,9.815,19.6294,171.55
134,449.546,23.3055,16.5,3.52235,9.96118,28.2384
135,512,16.5,10,3.24695,4.24875,90
136,426.342,17.2782,15,3.54738,6.88964,104.911
137,98.3337,24.353,82,7.38074,18.8574,3.64065
138,549.685,25.9385,143,10.6729,26.6103,165.215
139,508.711,17.3366,137,12.9191,17.8645,1.67688
140,524.97,8.99759,57,5.70886,17.2073,9.74053
141,502.764,4.49789,38.5,5.52481,10.6563,33.4371
142,420.331,12.126,201.5,18.9548,24.5186,130.296
143,72.7691,7.17297,36.5,3.73642,17.9446,154.91
